TRANS_NODE_NAME,LONGITUDE,LATITUDE
CAHAL,-63.562734,44.636089
INNSA,72.93839,18.936253
ZACPT,18.429126,-33.911309
KEMBA,96.469376,5.828483
HRRJK,14.440479,45.323482
EGPSE,32.30525,31.258782
CLSAN,-71.609932,-33.578213
TOKYO,139.691706,35.689487
EGYPT,32.352676,31.201216
ESVAL,-0.215878,39.460366
AUMEL,144.908295,-37.835954
VELAG,-66.946993,10.599533
MAPTM,-5.49782,35.898452
JPOSA,135.421044,34.717673
ABIDJAN,-4.00494,5.282197
BNMUA,115.065637,5.01889
VNDAD,108.217631,16.120302
MXLZC,-102.172503,17.936756
INCCU,88.34827,22.533052
RUVVO,131.882303,43.114035
RUNVS,37.789794,44.701908
USLAX,-118.257584,33.76173
ECGYE,-79.90301,-2.261349
KOP,13.730188,45.548059
DEHAM,114.118179,22.347828
BELAWAN,98.71,3.79
ROCON,28.646674,44.158648
OMSLL,114.117317,22.332905
PHCEB,123.87475,10.283164
PTLIS,-9.166323,38.71186
THLCH,100.88608,13.079153
GBFXT,1.313896,51.963177
PIR,23.646983,37.942986
MUPLU,57.496988,-20.148059
ARBUE,-58.36823,-34.595989
NAWVB,14.529515,-22.928144
KHKOS,105.111664,8.592786
OMSOH,56.737261,24.367309
MMRGN,144.362061,-38.1049
GBSOU,-1.451292,50.90419
IDSUB,112.731617,-7.221265
BHBAH,50.71859,26.185392
ROCND,28.750284,44.152504
KRINC,126.626175,37.401819
ESVLC,-0.320304,39.44227
NGAPP,3.179595,6.309741
PHMNN,120.958335,14.602475
PHBTG,120.224625,22.610775
HTPAP,-72.343111,18.561368
NLROT,3.990605,51.958119
AEJEA,55.04979,25.022073
GHTEM,0.010413,5.651612
GTPRQ,-90.787534,13.940552
PHDVO,125.712734,7.292288
BLANTYRE,39.295612,-6.83773
UAILK,30.659847,46.332672
YTN,114.236875,22.556499
RJK,14.769439,45.629417
DEBRE,8.522385,53.589893
BU,-58.3,-34.2
